Date,Amount
7/1/2023,144500
8/1/2023,57600
9/1/2023,77450
10/1/2023,90400
11/1/2023,75800
12/1/2023,85100
13/1/2023,0
14/1/2023,149500
15/1/2023,74200
16/1/2023,78200
17/1/2023,111300
18/1/2023,61800
19/1/2023,243900
20/1/2023,0
21/1/2023,70500
22/1/2023,125200
23/1/2023,97300
24/1/2023,107750
25/1/2023,130300
26/1/2023,130500
27/1/2023,0
28/1/2023,189200
29/1/2023,35750
30/1/2023,89900
31/1/2023,292850
1/2/2023,80300
2/2/2023,54450
3/2/2023,0
4/2/2023,78700
5/2/2023,94600
6/2/2023,175200
7/2/2023,104100
8/2/2023,100000
9/2/2023,88640
10/2/2023,0
11/2/2023,198250
12/2/2023,135200
13/2/2023,70300
14/2/2023,44600
15/2/2023,134700
16/2/2023,108550
17/2/2023,0
18/2/2023,224270
19/2/2023,114100
20/2/2023,191600
21/2/2023,105050
22/2/2023,145900
23/2/2023,130850
24/2/2023,0
25/2/2023,129600
26/2/2023,170900
27/2/2023,325300
28/2/2023,136800
1/3/2023,100400
2/3/2023,59900
3/3/2023,0
4/3/2023,124700
5/3/2023,159250
6/3/2023,315200
7/3/2023,206600
8/3/2023,212500
9/3/2023,430450
10/3/2023,0
11/3/2023,83550
12/3/2023,112600
13/3/2023,256800
14/3/2023,248600
15/3/2023,324600
16/3/2023,443400
17/3/2023,60100
18/3/2023,741400
19/3/2023,329300
20/3/2023,216800
21/3/2023,224500
22/3/2023,810800
23/3/2023,630000
24/3/2023,14700
25/3/2023,212800
26/3/2023,90800
27/3/2023,191600
28/3/2023,146900
29/3/2023,216400
30/3/2023,209500
31/3/2023,87400
1/4/2023,67550
2/4/2023,48650
3/4/2023,204650
4/4/2023,41200
5/4/2023,68000
6/4/2023,152800
7/4/2023,23800
8/4/2023,139700
9/4/2023,449700
10/4/2023,164300
11/4/2023,160100
12/4/2023,263550
13/4/2023,222850
14/4/2023,114600
15/4/2023,159750
16/4/2023,513850
17/4/2023,728350
18/4/2023,430800
19/4/2023,346450
20/4/2023,258400
21/4/2023,151900
22/4/2023,136900
23/4/2023,171250
24/4/2023,193500
25/4/2023,350810
26/4/2023,208300
27/4/2023,224250
28/4/2023,78950
29/4/2023,345150
30/4/2023,287100
1/5/2023,83450
2/5/2023,165900
3/5/2023,205200
4/5/2023,182300
5/5/2023,0
6/5/2023,93050
7/5/2023,235550
8/5/2023,144000
9/5/2023,181900
10/5/2023,223500
11/5/2023,376750
12/5/2023,0
13/5/2023,529323
14/5/2023,286900
15/5/2023,107500
16/5/2023,157700
17/5/2023,253550
18/5/2023,367200
19/5/2023,0
20/5/2023,142200
21/5/2023,161450
22/5/2023,128900
23/5/2023,109600
24/5/2023,42200
25/5/2023,192100
26/5/2023,0
27/5/2023,164230
28/5/2023,175050
29/5/2023,186450
30/5/2023,94850
31/5/2023,180180
1/6/2023,308650
2/6/2023,0
3/6/2023,305050
4/6/2023,391810
5/6/2023,303850
6/6/2023,284950
7/6/2023,294220
8/6/2023,156150
9/6/2023,0
10/6/2023,262000
11/6/2023,568350
12/6/2023,192800
13/6/2023,558200
14/6/2023,431400
15/6/2023,296600
16/6/2023,102400
17/6/2023,161500
18/6/2023,250200
19/6/2023,209400
20/6/2023,223300
21/6/2023,196000
22/6/2023,556850
23/6/2023,276200
24/6/2023,554650
25/6/2023,770900
26/6/2023,910800
27/6/2023,1110200
28/6/2023,789950
29/6/2023,47700
30/6/2023,62000
1/7/2023,266500
2/7/2023,148600
3/7/2023,131700
4/7/2023,289300
5/7/2023,246800
6/7/2023,267100
7/7/2023,0
8/7/2023,160050
9/7/2023,273900
10/7/2023,178060
11/7/2023,183150
12/7/2023,126100
13/7/2023,277750
14/7/2023,0
15/7/2023,198100
16/7/2023,227150
17/7/2023,103300
18/7/2023,211200
19/7/2023,132600
20/7/2023,203900
21/7/2023,0
22/7/2023,146500
23/7/2023,106200
24/7/2023,285000
25/7/2023,278700
26/7/2023,226700
27/7/2023,214650
28/7/2023,0
29/7/2023,187700
30/7/2023,349000
31/7/2023,303700
